seed_eigenc,seed_degree,seed_localc,seed_betweenness,inno_pen,seed_perspref,neighs_eigenc,neighs_degree,neighs_localc,neighs_betweenness,neighs_perspref,success,speed,neighsmax_eigenc,neighsmax_degree,neighsmax_localc,neighsmax_betweenness,neighsmax_perspref
-0.20996253741245,65,0.0855769230769231,17119.5053242557,1,0.507632890044444,0.0569227176222432,15.1384615384615,0.189029848565453,2074.88368815979,0.506076925713525,1,7,0.202521659428,63,0.8,18131.2882530902,0.737069755228612
-0.116716541690964,25,0.18,2830.03923702742,0.016,0.562943854596482,0.0822715297149314,23.12,0.156969590281394,4230.23309927779,0.495036535313593,0,0,0.20996253741245,65,0.642857142857143,18131.2882530902,0.722478484785872
-0.130003327028454,33,0.0984848484848485,5229.78563498713,0.998,0.326676509704795,0.0694220920584688,19.6969696969697,0.103028552894983,3047.24351186181,0.499054101681708,1,10,0.202057810795379,58,0.5,13257.6517319354,0.714489114177571
-0.151163021125045,45,0.0828282828282828,9872.02309918233,1,0.618317228208266,0.0591957080333824,16.7777777777778,0.131976419971255,2558.81516812897,0.504092815742465,1,9,0.202521659428,63,0.533333333333333,18131.2882530902,0.666471709933398
-0.117925651102503,34,0.089126559714795,5652.52358832919,0.988,0.600404060432331,0.0611204489921683,17.2647058823529,0.125755904024667,2448.89173485964,0.513872023514732,1,10,0.202057810795379,57,0.533333333333333,13502.8525256281,0.721078725586178
-0.166397005623651,48,0.0957446808510638,10196.2035239752,1,0.528725842108701,0.0610887782517257,17.1458333333333,0.136716949089942,2611.52676693774,0.495477639072017,1,10,0.20996253741245,65,0.642857142857143,18131.2882530902,0.721078725586178
-0.174399025745534,53,0.0841799709724238,12319.6846300791,1,0.714489114177571,0.057986294252301,15.5283018867925,0.154009070966188,2268.50784112078,0.480579574614633,1,13,0.20996253741245,65,0.642857142857143,18131.2882530902,0.730872951454218
-0.1138597993456,29,0.108374384236453,4366.9589898011,1,0.576796773981292,0.0691878103631455,19.551724137931,0.129095340376382,3315.95516128121,0.491215082831632,1,13,0.202057810795379,61,0.8,15901.1486486253,0.66075750563751
-0.134223978469342,38,0.085348506401138,6608.25966262597,1,0.509633657447371,0.062244886725199,18,0.148454538776963,2532.54645787031,0.491240157131765,1,10,0.20996253741245,65,0.666666666666667,17119.5053242557,0.645760062619869
-0.118002593461738,28,0.153439153439153,3989.82636646433,0.006,0.385514935558061,0.0742661125053122,21.8571428571429,0.123693393371844,3689.14243923753,0.481841511839094,0,0,0.192623159532887,61,0.533333333333333,15901.1486486253,0.831250179862455
-0.192623159532887,61,0.0699453551912568,15901.1486486253,1,0.466473876244839,0.0556462416415161,15.2131147540984,0.134296888759985,1904.93810249998,0.506796295159557,1,7,0.161538731868306,51,0.6,11463.6359668986,0.796405006089125
-0.202521659428,63,0.0809011776753712,18131.2882530902,1,0.44409677463765,0.0566484586957419,15.6190476190476,0.178798149987431,2262.18925697348,0.498885685384847,1,8,0.20996253741245,65,0.666666666666667,17119.5053242557,0.721078725586178
-0.161538731868306,51,0.0847058823529412,11463.6359668986,1,0.526016687850824,0.055816636607384,15.6274509803922,0.136130773025196,2078.06266646089,0.510578352786901,1,8,0.20996253741245,65,0.355555555555556,17119.5053242557,0.730872951454218
-0.123079146542144,31,0.159139784946237,4603.45992228633,0.016,0.470840641697129,0.0699648572580092,21.0322580645161,0.140752910478331,3381.42635557509,0.496849886788638,0,0,0.192623159532887,61,0.5,15901.1486486253,0.760392638933542
-0.146383699830755,46,0.0830917874396135,9791.86264645482,1,0.482038245357336,0.0560779408475257,15.8260869565217,0.118978303404514,2128.74310776087,0.50210345728299,1,12,0.202521659428,63,0.5,18131.2882530902,0.722478484785872
-0.129759669273994,34,0.117647058823529,5284.12580056608,1,0.645307886949853,0.0672539788668034,18.9411764705882,0.159367101385403,3312.04973447902,0.487823998574132,1,12,0.20996253741245,65,0.6,18131.2882530902,0.655506440056019
-0.178730484951986,58,0.0774349667271627,13126.9558872689,1,0.260039075926689,0.0543034985571883,14.3793103448276,0.175910680757724,1911.76089557804,0.504791907516376,1,8,0.20996253741245,65,0.642857142857143,18131.2882530902,0.716936483459631
